,,yield per colony,stocks december,average price per pound,value of production,lost colonies,percent lost,added colonies,renovated colonies,percent renovated,varroa mites,other pests and parasites,diseases,pesticides,other,unknown
2016,Nebraska,46,-0.154551999,-0.847913745,-0.326774848,-0.224628157,-0.100909682,-0.353489124,0.244139322,3.208710638,-1.055045017,-1.303189679,-0.594335131,-0.602055987,-1.163041155,-0.795684813
2016,New Jersey,27,-0.392491964,3.243881783,-0.489164185,-0.408124744,-0.54070109,-0.43281199,-0.407793696,-1.066733666,-0.72185431,-0.80156192,-0.572745285,-0.762236939,-1.023948653,0.152482632
2016,New York,57,0.129145651,0.163186308,0.300792279,-0.138750413,0.143418879,-0.262971983,-0.374239195,-0.889329338,-0.227082825,-0.807498344,-0.230906044,0.285100056,0.722434977,-0.465355509
2016,North Carolina,37,-0.451169467,1.419162156,-0.503965297,-0.31878058,-0.149775394,-0.309795344,-0.386137954,-0.818367607,-0.227082825,-0.009049426,-0.338855278,0.38367295,0.603948772,1.816363568
2016,North Dakota,78,3.16637932,-0.89530906,5.235821156,1.239989937,-0.41853681,0.332731912,1.987307548,0.228317928,-0.591475338,-0.712515573,-0.288478969,-0.643128026,-0.529397537,-0.092205741
2016,Ohio,79,-0.141632182,0.747728526,-0.289560625,-0.350090174,-0.125342538,-0.369498139,-0.387446817,-0.71192501,0.237601204,-0.362266605,-0.504377436,-0.137941946,0.073336637,0.128013795
2016,Oregon,35,-0.164241862,-0.847913745,-0.265033068,-0.172296407,-0.760596795,-0.135501701,-0.141380477,-0.481299384,0.200827648,0.100774403,0.819799832,-0.597948783,0.016669321,-0.587699696
2016,Other States,44,-0.275136959,0.992604321,-0.136559421,-0.199133202,5.152154366,-0.105289198,-0.24597057,3.545778861,4.516705937,2.540644331,4.205807467,1.710299811,2.643972128,4.813796136
2016,Pennsylvania,50,-0.355885815,0.036798801,-0.439939917,-0.346735575,0.021254598,-0.369257402,-0.383758202,-0.623222846,-0.267199432,-0.857957941,-0.454001127,-0.639020822,-0.446972351,-0.54487923
2016,South Carolina,45,-0.479700729,1.253278553,-0.40517845,-0.364403132,-0.149775394,-0.37684062,-0.395894936,-0.853848473,-0.246026779,1.109966344,0.254865508,1.43511715,1.103651463,-0.538762021
2016,South Dakota,71,6.029195458,-0.966402033,2.275852594,0.200064126,-0.29637253,-0.212537566,-0.11401333,-0.623222846,-0.035414593,-0.460217587,-0.043794039,0.153669531,-0.256364108,-0.930263418
2016,Tennessee,55,-0.461935981,1.498154347,-0.54726912,-0.397390026,-0.17420825,-0.408256808,-0.403510142,-0.853848473,-0.339632195,0.80424055,-0.587138516,-0.922417892,0.057881914,-0.00656481
2016,Texas,70,0.904334677,-0.713627019,0.954409361,0.865393005,-0.29637253,2.121408387,0.832651953,-0.002307699,-0.085560351,0.008759844,-0.115760195,0.687606039,-0.457275499,-0.428652253
2016,Utah,32,-0.40810341,-0.832115307,-0.521472897,-0.314307781,-0.125342538,-0.281869843,-0.324383393,-0.07326943,-0.287257736,-0.593787109,-0.54755713,0.014024599,-0.941523467,-0.942497836
2016,Vermont,52,-0.461935981,0.518651171,-0.587358988,-0.43071238,-0.846111791,-0.454839433,-0.409221547,-1.048993234,-0.885663788,0.059219441,0.913355835,0.449388213,-1.178495877,-0.985318302
2016,Virginia,38,-0.482930684,2.264378606,-0.589388854,-0.410808423,-0.271939674,-0.421376979,-0.399345577,-0.640963279,-0.0799886,0.240280348,-0.288478969,-0.877238649,-0.364547165,-0.202315508
2016,Washington,35,-0.277290261,-0.784719992,-0.188574755,-0.068303825,-0.565133947,-0.016336849,-0.233833836,-0.676444145,0.193027196,-0.578946051,-0.313667123,0.1208119,-0.240909385,-0.771215975
2016,West Virginia,32,-0.475932449,0.739829307,-0.630409077,-0.399514605,-0.027611114,-0.429080565,-0.405056981,-0.907069771,-0.291715137,-1.018241366,-0.284880661,-1.160635718,0.387582659,-0.508175974
2016,Wisconsin,62,0.149602028,-0.247573089,0.072601429,-0.128686615,-0.027611114,-0.235166851,-0.359603721,-0.889329338,0.166282792,-0.48396328,0.603901364,0.917609458,0.768799144,3.639291946
2016,Wyoming,68,-0.39679857,-0.950603594,-0.273913735,-0.307151302,-0.271939674,-0.345063326,-0.391492395,-0.942550637,-0.613762342,-1.178524792,-0.464796051,-0.786880163,-0.962129764,-0.99755272
2017,Alabama,45,-0.487237289,-0.168580897,-0.609602944,-0.398955506,-0.003178258,-0.426673195,-0.383282252,0.015432734,-0.043215044,0.24324856,-0.320863739,0.913502254,-0.060604291,0.305412865
2017,Arizona,40,-0.446862861,-0.808417649,-0.537542675,-0.228206396,0.412180295,-0.201704397,-0.323431493,-0.055528997,0.467157343,-0.739229477,0.30164351,-0.544555132,0.871830627,-0.581582486
2017,Arkansas,77,-0.379033821,-0.847913745,-0.322715114,-0.231560996,0.607643143,-0.302452863,-0.381973388,-0.800627174,0.181883695,0.448055159,0.384404589,0.917609458,0.650312939,-0.765098766
2017,California,41,0.684159461,-0.7057278,1.744450403,5.226372214,-0.17420825,5.074048625,5.431998343,0.583126584,0.361294075,0.082965134,0.204489199,0.925823866,0.624555069,0.054607283
2017,Colorado,43,-0.346195953,-0.729425458,-0.436218495,-0.253924992,-0.027611114,-0.312443452,-0.197185657,0.68956918,-0.023156741,-1.306157891,-0.33525697,0.129026308,0.207277564,-0.703926673
2017,Florida,43,-0.214306153,-0.460852006,1.105888165,1.27912693,0.387747439,2.088908882,1.517306559,1.399186492,0.277717811,0.350104177,0.031770425,0.40420897,0.269096454,4.024676134
2017,Georgia,32,-0.39679857,-0.018495733,0.109646496,0.261565115,-0.125342538,0.371249844,0.508291777,1.044377836,0.44932774,-0.044667965,-0.076178809,0.350815319,0.160913397,-0.159495043
2017,Hawaii,131,-0.490467244,-1.163882512,-0.482651696,-0.426239581,-1.029358211,-0.403803173,-0.395062023,-0.729665443,0.185226745,0.854700147,-0.605130055,-1.234565388,-1.230011619,-1.107662488
